#{"t_start": 1771801006.0785, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.478579
15.0,414,2.860502
21.0,434,3.192112
14.0,534,3.559506
7.0,322,3.781242
15.0,530,4.137104
18.0,416,4.407201
11.0,402,4.688439
10.0,440,4.972052
11.0,378,5.232697
8.0,386,5.484432
6.0,352,5.711136
24.0,506,6.066462
15.0,386,6.310424
22.0,432,6.585966
12.0,382,6.82816
15.0,424,7.117359
12.0,388,7.363253
15.0,392,7.635686
10.0,332,7.850912
20.0,404,8.112616
22.0,536,8.515426
14.0,694,8.970702
33.0,458,10.452756
60.0,652,12.745879
25.0,468,14.434309
10.0,354,15.679796
15.0,362,16.890312
16.0,432,18.448942
63.0,894,21.501716
26.0,436,23.008959
23.0,476,24.62472
22.0,396,25.977404
16.0,374,27.289433
18.0,528,29.140068
24.0,482,30.949197
23.0,662,33.789978
56.0,1134,37.868389
43.0,656,40.723926
20.0,464,42.922992
21.0,430,44.92779
29.0,577,47.202337
17.0,414,49.048929
28.0,666,51.586886
32.0,617,53.934804
41.0,800,57.020109
14.0,404,58.67312
27.0,704,61.322396
31.0,798,64.34451
22.0,446,66.059403
11.0,368,67.459438
34.0,534,69.501215
24.0,489,71.362914
16.0,470,73.147435
73.0,930,76.688463
87.0,486,78.516687
41.0,594,80.788347
65.0,882,84.161086
20.0,458,85.919177
11.0,422,87.521177
18.0,488,89.557275
13.0,406,91.109051
28.0,512,93.038858
25.0,582,95.230016
24.0,542,97.296001
30.0,538,99.334596
64.0,608,101.611785
12.0,422,103.216295
15.0,406,104.760459
22.0,388,106.217805
44.0,682,108.795003
20.0,432,110.492925
51.0,868,113.939848
19.0,376,115.350929
345.0,766,118.242836
59.0,633,120.832985
8.0,422,122.501591
9.0,372,123.927083
32.0,516,125.85778
15.0,412,127.675204
21.0,438,129.339551
64.0,934,132.74423
19.0,408,134.238338
80.0,850,137.332826
87.0,612,139.693617
19.0,464,141.436031
49.0,700,144.125101
31.0,682,146.693257
39.0,690,149.282094
45.0,842,152.620562
31.0,430,154.244386
40.0,740,157.052625
107.0,870,160.406425
50.0,496,162.394448
54.0,15676,224.0412
111.0,6688,251.595817
57.0,726,254.638021
166.0,940,258.160942
32.0,758,260.940989
36.0,798,263.97699
32.0,646,266.496992
60.0,758,269.256989
102.0,664,271.723989
70.0,820,274.746989
32.0,474,276.506989
30.0,684,279.02199
56.0,798,281.961989
28.0,668,284.482989
193.0,892,288.10599
26.0,652,291.190075
98.0,960,294.811604
47.0,696,297.446936
29.0,612,299.805522
62.0,946,303.467188
39.0,954,307.352826
36.0,630,309.774829
102.0,790,312.785818
35.0,708,315.610202
27.0,612,317.998249
31.0,658,320.491352
55.0,778,323.530643
65.0,838,326.704361
27.0,534,328.729185
34.0,676,331.316121
42.0,716,334.02387
29.0,754,337.180683
39.0,598,339.599535
30.0,660,342.087425
36.0,746,344.903437
35.0,638,347.340616
45.0,864,350.589811
29.0,632,352.957993
35.0,760,355.793906
32.0,636,358.170595
33.0,539,360.20467
28.0,620,362.504591
19.0,660,364.994437
26.0,658,367.639055
40.0,810,370.873113
36.0,640,373.430171
42.0,634,375.912751
42.0,706,378.552587
35.0,566,380.681786
47.0,944,384.241979
59.0,900,387.602734
38.0,820,390.654604
58.0,794,393.636446
32.0,526,395.61519
64.0,874,399.026185
97.0,1028,403.041937
38.0,702,405.677254
34.0,706,408.312685
69.0,890,411.631795
52.0,682,414.18237
37.0,652,416.633707
36.0,517,418.571408
37.0,636,420.955195
37.0,600,423.209884
163.0,997,426.948214
36.0,564,429.07982
97.0,1244,433.784865
73.0,908,437.174542
34.0,624,439.505418
32.0,500,441.371774
55.0,616,443.677659
33.0,566,445.802681
58.0,853,449.007457
347.0,882,452.285621
107.0,1004,456.051601
26.0,610,458.335283
43.0,540,460.360969
32.0,518,462.430815
55.0,806,465.441645
35.0,598,467.72299
29.0,664,470.272641
62.0,744,473.078512
52.0,734,475.837689
61.0,928,479.367507
30.0,520,481.317226
35.0,517,483.303257
32.0,770,486.246388
209.0,858,489.5719
42.0,650,492.022119
45.0,816,495.28252
65.0,732,498.054346
109.0,998,501.778355
39.0,650,504.282264
28.0,540,506.481773
25.0,493,508.335224
27.0,508,510.238876
19.0,458,511.965429
28.0,614,514.240844
47.0,769,517.144806
48.0,968,520.758788
48.0,646,523.156573
24.0,488,525.222499
26.0,524,527.230247
45.0,928,530.694067
18.0,452,532.384309
25.0,510,534.299859
22.0,454,536.01349
62.0,1008,540.140718
22.0,458,542.213928
30.0,692,544.866791
54.0,734,547.66586
33.0,526,549.668599
61.0,888,552.984507
110.0,744,555.830571
23.0,448,557.605706
23.0,438,559.247133
39.0,620,561.67144
21.0,614,564.443188
16.0,368,565.964873
41.0,704,568.977635
23.0,419,570.609973
25.0,416,572.187124
29.0,544,574.233463
20.0,434,575.869126
26.0,488,577.69766
36.0,502,579.657493
16.0,444,581.321699
48.0,614,583.609898
64.0,852,586.974189
24.0,478,588.933451
106.0,852,592.117076
19.0,378,593.545934
18.0,368,594.920393
43.0,600,597.157575
47.0,692,599.754388
27.0,484,601.572973
41.0,924,605.018474
15.0,464,606.761225
22.0,434,608.412919
95.0,628,610.783838
105.0,763,613.852685
18.0,402,615.392577
40.0,738,618.165663
104.0,704,620.990403
48.0,934,624.560032
15.0,444,626.253606
24.0,466,628.02855
26.0,414,629.588567
86.0,862,632.860549
20.0,450,634.54382
34.0,582,636.770688
30.0,518,638.725724
29.0,494,640.583469
43.0,548,642.669869
16.0,422,644.32761
16.0,396,645.846403
13.0,416,647.617999
32.0,498,649.618528
34.0,483,651.6594
24.0,456,653.367357
37.0,544,655.403039
16.0,490,657.23545
23.0,456,658.970147
9.0,388,660.423144
16.0,426,662.090513
96.0,686,664.664948
26.0,646,667.096004
49.0,692,669.707946
43.0,577,672.010411
18.0,460,673.910312
16.0,456,675.719191
65.0,674,678.318331
34.0,620,680.710398
46.0,559,682.995964
18.0,494,684.885392
20.0,494,686.782811
20.0,448,688.464224
16.0,586,690.664351
30.0,634,693.042869
23.0,442,694.693669
19.0,470,696.451801
15.0,454,698.158316
17.0,494,700.016623
27.0,500,701.961612
16.0,408,703.500337
14.0,446,705.168097
17.0,448,706.846072
14.0,444,708.515039
15.0,440,710.15255
34.0,712,713.05968
30.0,462,714.799923
13.0,408,716.385971
23.0,530,718.372687
19.0,492,720.319656
19.0,504,722.203703
18.0,494,724.044927
11.0,460,725.770072
22.0,472,727.537095
38.0,533,729.575217
23.0,450,731.246567
13.0,404,732.770314
28.0,522,734.736315
29.0,456,736.444028
22.0,500,738.385419
