#{"t_start": 1771804709.531594, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,1.99272
15.0,414,2.238083
21.0,434,2.523402
14.0,534,2.832651
7.0,322,3.029603
15.0,530,3.335351
18.0,416,3.578772
11.0,402,3.813467
10.0,440,4.074574
11.0,378,4.297776
8.0,386,4.523507
6.0,352,4.731268
24.0,506,5.029622
15.0,386,5.255553
22.0,432,5.508329
12.0,382,5.730975
15.0,424,5.981772
12.0,388,6.209795
15.0,392,6.440256
10.0,332,6.635265
20.0,404,6.873263
22.0,536,7.187695
14.0,694,7.584814
67.0,760,9.920966
21.0,468,11.437871
28.0,518,13.159008
19.0,472,14.712537
31.0,730,17.14465
32.0,510,18.813208
64.0,712,21.135976
171.0,524,22.89653
27.0,436,24.34651
13.0,402,25.932784
46.0,792,29.102623
26.0,690,31.796699
13.0,364,33.163273
32.0,602,35.3854
10.0,344,36.665683
19.0,482,38.38967
13.0,372,39.84949
15.0,486,41.610634
11.0,326,42.779739
14.0,434,44.373778
11.0,376,45.73278
12.0,414,47.265419
6.0,318,48.526726
20.0,436,50.43501
5.0,360,51.886613
23.0,458,53.810343
22.0,552,55.928064
15.0,474,57.753758
4.0,378,59.195234
33.0,642,61.64613
14.0,488,63.492009
21.0,420,65.034581
15.0,398,66.493926
34.0,516,68.349403
18.0,474,70.091136
19.0,396,71.8156
24.0,484,73.849839
11.0,378,75.389845
37.0,616,77.908823
21.0,638,80.369286
43.0,707,83.020988
25.0,522,85.039451
22.0,604,87.236242
25.0,562,89.294672
22.0,554,91.33791
12.0,448,92.969511
31.0,678,95.89405
28.0,506,97.974655
43.0,568,100.337897
8.0,404,101.911755
47.0,700,104.539207
17.0,382,106.112208
33.0,674,108.674952
16.0,462,110.553061
27.0,537,112.562864
18.0,374,113.926265
33.0,720,116.591392
22.0,478,118.704046
24.0,416,120.552818
27.0,742,123.652619
15.0,384,125.119061
37.0,718,127.880256
20.0,592,130.054192
25.0,469,131.856427
33.0,490,133.659461
30.0,526,135.558817
23.0,440,137.131526
41.0,577,139.217689
28.0,444,140.98447
24.0,540,143.346556
34.0,622,146.170348
51.0,708,148.877216
27.0,462,150.656746
30.0,468,152.457986
20.0,448,154.135349
49.0,620,156.492943
40.0,593,158.652374
25.0,734,161.287767
15.0,460,162.952899
67.0,816,166.647624
36.0,573,169.252624
29.0,648,171.762161
36.0,608,174.00993
31.0,776,177.095954
68.0,646,179.489503
29.0,716,182.096402
20.0,474,183.811919
29.0,710,186.388672
25.0,618,189.041673
62.0,674,192.043605
57.0,742,195.046392
67.0,936,198.748684
32.0,704,201.472277
33.0,754,204.396217
43.0,662,206.853482
56.0,668,209.354347
50.0,886,213.119319
52.0,815,216.436232
39.0,640,218.955697
26.0,494,220.863952
27.0,548,223.047498
38.0,564,225.074293
37.0,628,227.406085
37.0,640,229.693658
49.0,656,232.026253
17.0,488,234.044369
22.0,506,236.248367
50.0,660,238.974891
28.0,606,241.315186
31.0,694,243.885008
38.0,784,246.902398
27.0,576,249.19277
25.0,466,251.001868
49.0,676,253.433275
21.0,530,255.31329
104.0,720,258.409663
47.0,848,262.280181
40.0,688,264.929011
33.0,662,267.693894
23.0,442,269.753909
63.0,904,273.301373
40.0,648,275.788061
96.0,560,277.959065
32.0,519,279.850339
40.0,700,282.389975
27.0,600,284.579807
14.0,496,286.393538
34.0,518,288.265399
40.0,652,290.626726
43.0,680,293.073375
31.0,570,295.120354
38.0,712,297.722769
175.0,586,299.974238
21.0,436,301.946943
101.0,928,305.941619
49.0,638,308.309037
40.0,570,310.424178
54.0,1126,314.517183
51.0,727,317.155671
104.0,699,319.750679
74.0,934,323.08877
30.0,636,325.560822
92.0,511,327.475017
31.0,541,329.490304
41.0,676,332.149464
27.0,432,333.797245
50.0,918,337.379766
188.0,848,340.565301
39.0,646,342.974729
49.0,656,345.367988
27.0,482,347.218658
78.0,890,350.987884
28.0,590,353.28876
32.0,550,355.444718
31.0,642,358.231982
35.0,654,360.918472
40.0,686,363.429361
55.0,1054,367.24471
27.0,452,369.184831
12.0,408,370.814339
50.0,590,373.131469
43.0,660,375.679929
39.0,546,377.775954
57.0,754,380.746957
28.0,552,382.938143
58.0,784,386.084459
58.0,878,389.327688
58.0,752,392.086486
36.0,754,395.459939
59.0,1032,399.431457
34.0,626,401.742072
37.0,630,404.329749
47.0,788,407.39313
57.0,670,409.889208
67.0,792,412.96838
46.0,722,416.019406
14.0,376,417.498519
25.0,524,419.800396
32.0,670,422.310626
54.0,748,425.186343
40.0,770,428.534999
23.0,452,430.328465
37.0,674,432.75364
34.0,778,435.672407
28.0,588,437.859012
54.0,822,441.394894
19.0,446,443.145113
66.0,878,446.517418
112.0,825,449.602805
33.0,680,452.653611
25.0,512,454.546379
79.0,862,457.64518
33.0,764,460.696316
69.0,1058,464.820442
25.0,516,466.736077
42.0,690,469.335716
14.0,490,471.328509
39.0,624,473.92572
30.0,427,475.753988
27.0,498,477.560072
48.0,605,479.745871
109.0,594,482.032311
30.0,560,484.4047
127.0,1071,488.775002
33.0,632,491.078368
49.0,938,494.600281
48.0,832,497.780298
54.0,921,501.171353
45.0,724,503.939579
28.0,458,505.882226
37.0,678,508.773722
77.0,944,512.763769
46.0,543,514.874105
35.0,450,516.572111
34.0,714,519.261792
19.0,426,520.868829
42.0,620,523.248145
42.0,846,526.539803
81.0,924,530.241239
81.0,1052,534.373809
27.0,502,536.197201
31.0,616,538.499516
54.0,846,541.835802
40.0,560,544.349819
78.0,1072,548.512645
25.0,486,550.381954
34.0,678,552.961514
15.0,428,554.52348
38.0,472,556.258074
47.0,658,558.784113
29.0,634,561.223656
40.0,682,563.737471
61.0,726,566.441369
42.0,666,568.947783
37.0,640,571.552761
38.0,464,573.476843
54.0,728,576.201406
54.0,668,578.970099
45.0,572,581.129491
108.0,736,583.896751
57.0,794,586.790704
24.0,542,589.038905
35.0,502,590.872952
15.0,414,592.392544
48.0,692,595.220251
31.0,443,597.195121
43.0,658,599.893459
95.0,547,602.027969
53.0,718,604.825685
28.0,450,606.617264
42.0,596,609.239484
50.0,700,611.955679
41.0,646,614.400086
327.0,26996,720.980889
93.0,586,723.149765
39.0,586,725.3497
47.0,1032,729.15783
33.0,670,731.654728
110.0,766,734.518388
54.0,888,737.839604
69.0,774,740.702598
79.0,932,744.165817
