experiment,episodes,total_steps,global_mean,global_std,last50_mean,last50_std,training_time_min
dqn_2000000_lr0.0001_bs128_buf25000_tf1_huber_seed1,2677,1999876,146.9955173701905,150.64886422967191,255.12,176.57289033144357,773.8060576756795
dqn_1000000_lr0.0001_bs128_buf25000_tf1_huber_seed1,1343,999370,70.67237527922562,84.725178101089,197.64,121.58236056270664,376.7026884237925
dqn_3000000_lr0.0001_bs128_buf25000_tf1_huber_seed1,3957,2999549,117.41799342936568,116.8333297883068,169.44,125.80606662637537,1146.6411553621292
dqn_lr0.0001_bs128_buf50000_tf4_huber_seed1,300,199841,82.98666666666666,67.24556854461778,113.0,60.197342134017845,22.70262528657913
dqn_lr0.0001_bs32_buf50000_tf1_huber_seed1,307,199922,55.618892508143325,44.299631634392206,96.82,71.54542333371157,34.801233967145286
dqn_lr0.0005_bs32_buf50000_tf4_huber_seed1,330,199396,46.93333333333333,40.41888747413101,78.04,53.6067010736531,12.342127680778503
dqn_lr0.0001_bs128_buf50000_tf1_huber_seed1,733,490047,39.96725784447476,30.4427809436026,73.94,65.87971159621148,182.9046129822731
dqn_lr0.0001_bs32_buf50000_tf8_huber_seed1,292,199857,51.95890410958904,39.3685391241741,71.94,29.77610451351889,9.01290738582611
dqn_lr0.0001_bs32_buf25000_tf4_huber_seed1,255,199785,64.44705882352942,53.07408936512916,69.66,30.693719227229536,12.958508511384329
dqn_lr0.0001_bs64_buf50000_tf4_huber_seed1,322,199113,49.48757763975155,26.959507841877794,68.34,13.871712223081909,16.259180517991386
dqn_lr1e-05_bs32_buf50000_tf4_huber_seed1,285,199792,39.53333333333333,31.013236185755435,53.8,44.80223208725208,12.388068862756093
dqn_lr0.0001_bs32_buf50000_tf4_huber_seed1,326,199910,57.75766871165644,48.01711912989387,51.08,13.818596166036548,13.032385297616322
dqn_lr0.0001_bs32_buf100000_tf4_huber_seed1,322,199770,50.40683229813665,28.169611890564695,50.72,12.459598709428807,13.388819499810536
dqn_lr0.0003_bs128_buf25000_tf1_huber_seed1,835,499861,33.68622754491018,25.38182176652701,31.54,17.58545990299941,188.96582105954488
dqn_lr0.0001_bs32_buf50000_tf4_mse_seed1,298,199573,39.52684563758389,37.68129710871116,25.04,14.85120870501792,12.303581543763478
dqn_lr0.0003_bs128_buf100000_tf1_huber_seed1,1039,499877,20.171318575553418,12.083982083596489,20.96,9.134462217339344,206.05631719032922
dqn_lr0.0005_bs128_buf50000_tf1_huber_seed1,1051,499850,20.725975261655567,12.170415411936544,15.62,6.8524156324613,186.87957382202148
dqn_lr0.0003_bs128_buf50000_tf1_huber_seed1,971,499539,22.483007209062823,14.477742056534948,15.4,6.063002556489647,195.19719741741815
